id,name,sku,unit,unit_price,default_vendor_id
62,Hybrid Power Control Unit,PCU-HYBRID,unit,2500.0,29
63,Fuel Injection Pump High Pressure,PUMP-FUEL-HP,unit,600.0,29
64,Turbocharger Electric Assist,TURBO-E-AST,unit,1800.0,10
65,Exhaust Manifold Sport,EXH-MAN-SP,unit,450.0,18
66,Catalytic Converter Euro 7,CAT-CONV-E7,unit,900.0,18
67,Steering Rack Electric,STEER-RACK-E,unit,750.0,12
68,Air Suspension Compressor,SUSP-COMP-AIR,unit,500.0,11
69,Door Module Controller,MOD-DOOR-CTRL,unit,150.0,19
70,Window Regulator Motor,MOTOR-WIN-REG,unit,80.0,19
71,Sunroof Motor Assembly,MOTOR-SUN-ASM,unit,120.0,8
72,Rain Sensor Module,SENSOR-RAIN,unit,40.0,11
73,TPMS Sensor Set,SENSOR-TPMS-4,set,100.0,7
74,Keyless Entry Fob,KEY-FOB-ENTRY,unit,80.0,7
75,Ambient Lighting Kit,LIGHT-AMB-KIT,kit,200.0,14
76,Floor Mat Set Premium,MAT-FLOOR-PREM,set,150.0,13
77,Roof Rack Crossbars,RACK-ROOF-BAR,set,250.0,13
78,Tow Hitch Assembly,HITCH-TOW-ASM,unit,400.0,15
79,Mud Flap Set,FLAP-MUD-SET,set,60.0,15
80,Car Cover Weatherproof,COVER-CAR-WP,unit,120.0,20
